case,spp,cull,atomics,rays_m,gpu_deform_ms,gpu_flux_ms,gpu_scene_ms,gpu_bloom_ms,gpu_post_ms,gpu_total_ms,wall_ms,fps,mray_per_s,s95_area_m2
spp16,16,1,0,0.063,0.018,0.082,0.045,0.049,0.011,0.204,0.880,1136.6,771,117.82
spp32,32,1,0,0.126,0.019,0.083,0.042,0.048,0.011,0.205,0.970,1030.7,1523,166.16
spp64,64,1,0,0.253,0.019,0.086,0.042,0.049,0.012,0.208,0.911,1097.4,2940,198.66
spp128,128,1,0,0.506,0.018,0.095,0.042,0.05,0.011,0.215,0.962,1039.9,5322,209.87
spp256,256,1,0,1.011,0.019,0.121,0.042,0.05,0.011,0.242,1.198,834.7,8357,222.19
spp512,512,1,0,2.022,0.019,0.200,0.045,0.054,0.011,0.330,1.377,726.3,10112,225.23
spp1024,1024,1,0,4.045,0.020,0.358,0.041,0.126,0.012,0.556,1.119,894.0,11298,226.84
ab_reference,1024,1,0,4.045,0.019,78.000,0.115,0.073,0.011,78.218,84.211,11.9,52,226.84
ab_atomics,1024,1,1,4.045,0.022,48.789,0.105,0.049,0.011,48.977,47.612,21.0,83,226.84
ab_nocull,1024,0,0,4.045,0.019,0.351,0.042,0.049,0.062,0.523,1.235,809.8,11524,226.84
ab_atomics64,64,1,1,0.253,0.018,2.784,0.074,0.049,0.011,2.936,3.598,277.9,91,198.66
